ctgov,cause,dist,parameter1,parameter2,r
NCT00277264,Other/Miscellaneous,exp,1,rate,7.692e-02
NCT00277264,Protocol Violation,exp,1,rate,7.143e-02
NCT00277264,Voluntary Withdrawal,exp,1,rate,1.408e-02
NCT00321854,Adverse Event,exp,1,rate,1.190e-02
NCT00321854,Lack of Efficacy,exp,1,rate,4.348e-02
NCT00321854,Protocol Violation,exp,1,rate,9.091e-02
NCT00321854,Voluntary Withdrawal,exp,1,rate,4.348e-02
NCT00384930,Adverse Event,exp,1,rate,2.174e-02
NCT00384930,Other/Miscellaneous,exp,1,rate,4.000e-02
NCT00384930,PI/Sponsor Decision,exp,1,rate,7.143e-02
NCT00384930,Protocol Violation,exp,1,rate,9.091e-02
NCT00384930,Voluntary Withdrawal,exp,1,rate,2.632e-02
NCT00402233,Adverse Event,exp,1,rate,3.846e-02
NCT00466167,Adverse Event,exp,1,rate,3.704e-02
NCT00466167,Voluntary Withdrawal,exp,1,rate,5.556e-02
NCT00472199,Adverse Event,exp,1,rate,2.381e-02
NCT00472199,Lack of Efficacy,exp,1,rate,3.448e-02
NCT00472199,Voluntary Withdrawal,exp,1,rate,9.091e-02
NCT00479401,Adverse Event,exp,1,rate,2.083e-02
NCT00479401,Voluntary Withdrawal,exp,1,rate,3.704e-02
NCT00525512,Adverse Event,exp,1,rate,1.316e-02
NCT00525512,Lack of Efficacy,exp,1,rate,5.556e-02
NCT00525512,Other/Miscellaneous,exp,1,rate,4.000e-02
NCT00525512,Voluntary Withdrawal,exp,1,rate,3.571e-02
NCT00563381,Adverse Event,exp,1,rate,1.799e-03
NCT00563381,Lack of Efficacy,exp,1,rate,1.786e-02
NCT00563381,Lost to Follow-up,exp,1,rate,4.545e-02
NCT00563381,Other/Miscellaneous,exp,1,rate,1.724e-02
NCT00563381,Protocol Violation,exp,1,rate,7.194e-03
NCT00563381,Voluntary Withdrawal,exp,1,rate,2.494e-03
NCT00601250,Adverse Event,exp,1,rate,9.091e-02
NCT00601250,Other/Miscellaneous,exp,1,rate,1.000e-01
NCT00601250,Voluntary Withdrawal,exp,1,rate,5.882e-02
NCT00602472,Adverse Event,exp,1,rate,3.571e-02
NCT00602472,Protocol Violation,exp,1,rate,4.545e-02
NCT00602472,Voluntary Withdrawal,exp,1,rate,4.762e-02
NCT00622284,Adverse Event,exp,1,rate,6.623e-03
NCT00622284,Lack of Efficacy,exp,1,rate,1.667e-02
NCT00622284,Lost to Follow-up,exp,1,rate,4.545e-02
NCT00622284,Other/Miscellaneous,exp,1,rate,1.754e-02
NCT00622284,Protocol Violation,exp,1,rate,5.882e-02
NCT00622284,Voluntary Withdrawal,exp,1,rate,2.000e-02
NCT00641043,Adverse Event,exp,1,rate,1.000e-01
NCT00654381,Adverse Event,exp,1,rate,4.762e-02
NCT00734474,Adverse Event,exp,1,rate,4.329e-03
NCT00734474,Lack of Efficacy,exp,1,rate,7.143e-02
NCT00734474,Lost to Follow-up,exp,1,rate,3.333e-02
NCT00734474,Other/Miscellaneous,exp,1,rate,7.143e-02
NCT00734474,PI/Sponsor Decision,exp,1,rate,2.857e-02
NCT00734474,Protocol Violation,exp,1,rate,9.091e-02
NCT00734474,Voluntary Withdrawal,exp,1,rate,1.010e-02
NCT00740051,Lost to Follow-up,exp,1,rate,9.091e-02
NCT00740051,Voluntary Withdrawal,exp,1,rate,7.143e-02
NCT00772538,Adverse Event,exp,1,rate,8.333e-02
NCT00772538,Other/Miscellaneous,exp,1,rate,7.143e-02
NCT00772538,Voluntary Withdrawal,exp,1,rate,9.091e-02
NCT00776984,Adverse Event,exp,1,rate,1.000e-01
NCT00776984,Other/Miscellaneous,exp,1,rate,7.143e-02
NCT00776984,Voluntary Withdrawal,exp,1,rate,5.263e-02
NCT00782210,Adverse Event,exp,1,rate,1.852e-02
NCT00782210,Lack of Efficacy,exp,1,rate,5.556e-02
NCT00782210,Voluntary Withdrawal,exp,1,rate,3.333e-02
NCT00782509,Adverse Event,exp,1,rate,2.000e-02
NCT00782509,Lack of Efficacy,exp,1,rate,5.882e-02
NCT00782509,Other/Miscellaneous,exp,1,rate,1.000e-01
NCT00782509,Voluntary Withdrawal,exp,1,rate,6.667e-02
NCT00793624,Adverse Event,exp,1,rate,1.515e-02
NCT00793624,Lack of Efficacy,exp,1,rate,6.667e-02
NCT00793624,Other/Miscellaneous,exp,1,rate,5.882e-02
NCT00793624,Protocol Violation,exp,1,rate,1.000e-01
NCT00793624,Voluntary Withdrawal,exp,1,rate,1.887e-02
NCT00798161,Adverse Event,exp,1,rate,3.846e-02
NCT00798161,Lack of Efficacy,exp,1,rate,5.882e-02
NCT00798161,Lost to Follow-up,exp,1,rate,7.143e-02
NCT00798161,Protocol Violation,exp,1,rate,7.143e-02
NCT00798161,Voluntary Withdrawal,exp,1,rate,4.762e-02
NCT00800683,Adverse Event,exp,1,rate,5.263e-02
NCT00848081,Adverse Event,exp,1,rate,8.333e-02
NCT00855582,Adverse Event,exp,1,rate,9.091e-02
NCT00855582,Lack of Efficacy,exp,1,rate,8.333e-02
NCT00855582,Other/Miscellaneous,exp,1,rate,6.250e-02
NCT00855582,Protocol Violation,exp,1,rate,8.333e-02
NCT00855582,Voluntary Withdrawal,exp,1,rate,6.250e-02
NCT00861757,Adverse Event,exp,1,rate,6.667e-02
NCT00861757,Voluntary Withdrawal,exp,1,rate,7.692e-02
NCT00915772,Adverse Event,exp,1,rate,2.778e-02
NCT00915772,Lack of Efficacy,exp,1,rate,3.704e-02
NCT00915772,Other/Miscellaneous,exp,1,rate,5.556e-02
NCT00915772,Voluntary Withdrawal,exp,1,rate,5.882e-02
NCT00926289,Adverse Event,exp,1,rate,5.000e-02
NCT00926289,Protocol Violation,exp,1,rate,5.000e-02
NCT00954447,Adverse Event,exp,1,rate,2.128e-02
NCT00954447,Lack of Efficacy,exp,1,rate,5.556e-02
NCT00954447,Lost to Follow-up,exp,1,rate,5.000e-02
NCT00954447,Other/Miscellaneous,exp,1,rate,2.941e-02
NCT00954447,Voluntary Withdrawal,exp,1,rate,2.564e-02
NCT00970632,Protocol Violation,exp,1,rate,4.762e-02
NCT00970632,Voluntary Withdrawal,exp,1,rate,6.250e-02
NCT00975195,Adverse Event,exp,1,rate,4.808e-03
NCT00975195,Lack of Efficacy,exp,1,rate,8.333e-02
NCT00975195,Lost to Follow-up,exp,1,rate,6.250e-02
NCT00975195,Other/Miscellaneous,exp,1,rate,1.613e-02
NCT00975195,Protocol Violation,exp,1,rate,2.000e-02
NCT00975195,Voluntary Withdrawal,exp,1,rate,9.174e-03
NCT00996658,Other/Miscellaneous,exp,1,rate,6.667e-02
NCT01064687,Adverse Event,exp,1,rate,3.846e-02
NCT01064687,Lost to Follow-up,exp,1,rate,4.000e-02
NCT01064687,Voluntary Withdrawal,exp,1,rate,3.448e-02
NCT01075282,Adverse Event,exp,1,rate,4.545e-02
NCT01075282,Other/Miscellaneous,exp,1,rate,7.692e-02
NCT01075282,Voluntary Withdrawal,exp,1,rate,3.846e-02
NCT01084005,Protocol Violation,exp,1,rate,1.000e-01
NCT01087502,Adverse Event,exp,1,rate,3.704e-02
NCT01126437,Adverse Event,exp,1,rate,5.426e-04
NCT01126437,Lack of Efficacy,exp,1,rate,5.435e-03
NCT01126437,Lost to Follow-up,exp,1,rate,5.882e-03
NCT01126437,Other/Miscellaneous,exp,1,rate,1.773e-03
NCT01126437,Protocol Violation,exp,1,rate,5.848e-03
NCT01126437,Voluntary Withdrawal,exp,1,rate,1.015e-03
NCT01126580,Adverse Event,exp,1,rate,2.941e-02
NCT01126580,Lost to Follow-up,exp,1,rate,3.704e-02
NCT01126580,PI/Sponsor Decision,exp,1,rate,5.000e-02
NCT01126580,Voluntary Withdrawal,exp,1,rate,2.500e-02
NCT01131676,Adverse Event,exp,1,rate,3.676e-03
NCT01131676,Other/Miscellaneous,exp,1,rate,7.519e-03
NCT01131676,Protocol Violation,exp,1,rate,4.348e-02
NCT01131676,Voluntary Withdrawal,exp,1,rate,1.887e-02
NCT01159600,Adverse Event,exp,1,rate,2.857e-02
NCT01159600,Lost to Follow-up,exp,1,rate,8.333e-02
NCT01159600,Other/Miscellaneous,exp,1,rate,4.762e-02
NCT01159600,Voluntary Withdrawal,exp,1,rate,4.545e-02
NCT01164501,Adverse Event,exp,1,rate,2.326e-02
NCT01164501,Other/Miscellaneous,exp,1,rate,7.692e-02
NCT01164501,Voluntary Withdrawal,exp,1,rate,4.545e-02
NCT01167881,Adverse Event,exp,1,rate,1.493e-02
NCT01167881,Lost to Follow-up,exp,1,rate,3.704e-02
NCT01167881,Other/Miscellaneous,exp,1,rate,1.667e-02
NCT01167881,Protocol Violation,exp,1,rate,5.000e-02
NCT01167881,Voluntary Withdrawal,exp,1,rate,1.667e-02
NCT01177813,Adverse Event,exp,1,rate,5.000e-02
NCT01177813,Lost to Follow-up,exp,1,rate,4.167e-02
NCT01177813,Other/Miscellaneous,exp,1,rate,8.333e-02
NCT01177813,Voluntary Withdrawal,exp,1,rate,3.448e-02
NCT01191268,Adverse Event,exp,1,rate,2.381e-02
NCT01191268,Lost to Follow-up,exp,1,rate,5.882e-02
NCT01191268,PI/Sponsor Decision,exp,1,rate,4.167e-02
NCT01191268,Voluntary Withdrawal,exp,1,rate,1.587e-02
NCT01191944,Adverse Event,exp,1,rate,4.348e-02
NCT01194830,Lost to Follow-up,exp,1,rate,6.667e-02
NCT01194830,Other/Miscellaneous,exp,1,rate,5.263e-02
NCT01204294,Adverse Event,exp,1,rate,5.000e-02
NCT01210001,Adverse Event,exp,1,rate,9.091e-02
NCT01214239,Voluntary Withdrawal,exp,1,rate,8.333e-02
NCT01306214,Adverse Event,exp,1,rate,3.571e-02
NCT01306214,Protocol Violation,exp,1,rate,6.667e-02
NCT01306214,Voluntary Withdrawal,exp,1,rate,3.846e-02
NCT01335464,Adverse Event,exp,1,rate,1.124e-02
NCT01335464,Voluntary Withdrawal,exp,1,rate,6.250e-02
NCT01335477,Adverse Event,exp,1,rate,1.031e-02
NCT01335477,Voluntary Withdrawal,exp,1,rate,5.882e-02
NCT01368081,Adverse Event,exp,1,rate,2.174e-02
NCT01368081,Other/Miscellaneous,exp,1,rate,1.000e-01
NCT01368081,Voluntary Withdrawal,exp,1,rate,3.030e-02
NCT01370005,Adverse Event,exp,1,rate,6.250e-02
NCT01422876,Adverse Event,exp,1,rate,1.852e-02
NCT01422876,Lost to Follow-up,exp,1,rate,2.000e-02
NCT01422876,Other/Miscellaneous,exp,1,rate,2.439e-02
NCT01422876,Protocol Violation,exp,1,rate,8.333e-02
NCT01422876,Voluntary Withdrawal,exp,1,rate,3.125e-02
NCT01558271,Adverse Event,exp,1,rate,7.692e-02
NCT01558271,Voluntary Withdrawal,exp,1,rate,3.571e-02
NCT01621178,Adverse Event,exp,1,rate,6.667e-02
NCT01621178,Other/Miscellaneous,exp,1,rate,6.667e-02
NCT01621178,PI/Sponsor Decision,exp,1,rate,7.143e-02
NCT01621178,Voluntary Withdrawal,exp,1,rate,2.174e-02
NCT01624259,Adverse Event,exp,1,rate,5.556e-02
NCT01624259,Voluntary Withdrawal,exp,1,rate,9.091e-02
NCT01694771,Adverse Event,exp,1,rate,2.941e-02
NCT01694771,Other/Miscellaneous,exp,1,rate,9.091e-02
NCT01694771,Protocol Violation,exp,1,rate,8.333e-02
NCT01694771,Voluntary Withdrawal,exp,1,rate,6.667e-02
NCT01708902,Adverse Event,exp,1,rate,4.000e-02
NCT01708902,Voluntary Withdrawal,exp,1,rate,4.762e-02
NCT01719003,Adverse Event,exp,1,rate,2.778e-02
NCT01719003,Lost to Follow-up,exp,1,rate,4.167e-02
NCT01719003,Other/Miscellaneous,exp,1,rate,7.692e-02
NCT01719003,Protocol Violation,exp,1,rate,1.000e-01
NCT01719003,Voluntary Withdrawal,exp,1,rate,2.703e-02
NCT01769378,Adverse Event,exp,1,rate,1.000e-01
NCT01769378,Voluntary Withdrawal,exp,1,rate,1.000e-01
NCT02152371,Voluntary Withdrawal,exp,1,rate,1.000e-01
NCT02172287,Adverse Event,exp,1,rate,1.250e-02
NCT02172287,Voluntary Withdrawal,exp,1,rate,4.348e-02
NCT02172586,Voluntary Withdrawal,exp,1,rate,7.143e-02
NCT02175355,Adverse Event,exp,1,rate,4.545e-02
NCT02175355,Protocol Violation,exp,1,rate,3.571e-02
NCT02177344,Adverse Event,exp,1,rate,3.333e-02
NCT02177344,Other/Miscellaneous,exp,1,rate,4.545e-02
NCT02177344,Voluntary Withdrawal,exp,1,rate,5.263e-02
NCT02177396,Adverse Event,exp,1,rate,8.333e-02
NCT02177396,Lack of Efficacy,exp,1,rate,1.000e-01
NCT02177461,Adverse Event,exp,1,rate,6.250e-02
NCT02177461,Lack of Efficacy,exp,1,rate,3.125e-02
NCT02177461,Protocol Violation,exp,1,rate,8.333e-02
NCT02177461,Voluntary Withdrawal,exp,1,rate,2.500e-02
NCT02183064,Adverse Event,exp,1,rate,2.564e-02
NCT02183064,Other/Miscellaneous,exp,1,rate,5.882e-02
NCT02183064,Voluntary Withdrawal,exp,1,rate,2.703e-02
NCT02200653,Adverse Event,exp,1,rate,8.333e-02
NCT02240680,Adverse Event,exp,1,rate,8.333e-02
NCT02489968,Adverse Event,exp,1,rate,5.882e-02
NCT02750410,Adverse Event,exp,1,rate,8.333e-02
NCT00034840,Lack of Efficacy,gengamma,mu,mu,7.904e-06
NCT00034840,Lack of Efficacy,gengamma,mu,sigma,-8.921e-14
NCT00034840,Lack of Efficacy,gengamma,mu,Q,1.669e-04
NCT00034840,Lack of Efficacy,gengamma,sigma,mu,-8.921e-14
NCT00034840,Lack of Efficacy,gengamma,sigma,sigma,7.904e-06
NCT00034840,Lack of Efficacy,gengamma,sigma,Q,-4.226e-07
NCT00034840,Lack of Efficacy,gengamma,Q,mu,1.669e-04
NCT00034840,Lack of Efficacy,gengamma,Q,sigma,-4.226e-07
NCT00034840,Lack of Efficacy,gengamma,Q,Q,7.904e+02
NCT00051558,Adverse Event,gengamma,mu,mu,2.945e+00
NCT00051558,Adverse Event,gengamma,mu,sigma,-2.526e-01
NCT00051558,Adverse Event,gengamma,mu,Q,2.675e+00
NCT00051558,Adverse Event,gengamma,sigma,mu,-2.526e-01
NCT00051558,Adverse Event,gengamma,sigma,sigma,4.696e-02
NCT00051558,Adverse Event,gengamma,sigma,Q,-3.056e-01
NCT00051558,Adverse Event,gengamma,Q,mu,2.675e+00
NCT00051558,Adverse Event,gengamma,Q,sigma,-3.056e-01
NCT00051558,Adverse Event,gengamma,Q,Q,2.689e+00
NCT00051558,Lost to Follow-up,gengamma,mu,mu,1.006e-06
NCT00051558,Lost to Follow-up,gengamma,mu,sigma,-2.733e-07
NCT00051558,Lost to Follow-up,gengamma,mu,Q,5.218e-03
NCT00051558,Lost to Follow-up,gengamma,sigma,mu,-2.733e-07
NCT00051558,Lost to Follow-up,gengamma,sigma,sigma,1.006e-06
NCT00051558,Lost to Follow-up,gengamma,sigma,Q,-5.269e-03
NCT00051558,Lost to Follow-up,gengamma,Q,mu,5.218e-03
NCT00051558,Lost to Follow-up,gengamma,Q,sigma,-5.269e-03
NCT00051558,Lost to Follow-up,gengamma,Q,Q,1.006e+02
NCT00051558,Other/Miscellaneous,gengamma,mu,mu,4.453e+00
NCT00051558,Other/Miscellaneous,gengamma,mu,sigma,1.725e-01
NCT00051558,Other/Miscellaneous,gengamma,mu,Q,5.288e+00
NCT00051558,Other/Miscellaneous,gengamma,sigma,mu,1.725e-01
NCT00051558,Other/Miscellaneous,gengamma,sigma,sigma,2.191e-02
NCT00051558,Other/Miscellaneous,gengamma,sigma,Q,1.384e-01
NCT00051558,Other/Miscellaneous,gengamma,Q,mu,5.288e+00
NCT00051558,Other/Miscellaneous,gengamma,Q,sigma,1.384e-01
NCT00051558,Other/Miscellaneous,gengamma,Q,Q,6.702e+00
NCT00051558,PI/Sponsor Decision,gengamma,mu,mu,1.700e+00
NCT00051558,PI/Sponsor Decision,gengamma,mu,sigma,1.462e+00
NCT00051558,PI/Sponsor Decision,gengamma,mu,Q,-3.148e+00
NCT00051558,PI/Sponsor Decision,gengamma,sigma,mu,1.462e+00
NCT00051558,PI/Sponsor Decision,gengamma,sigma,sigma,3.767e+00
NCT00051558,PI/Sponsor Decision,gengamma,sigma,Q,-9.666e+00
NCT00051558,PI/Sponsor Decision,gengamma,Q,mu,-3.148e+00
NCT00051558,PI/Sponsor Decision,gengamma,Q,sigma,-9.666e+00
NCT00051558,PI/Sponsor Decision,gengamma,Q,Q,2.515e+01
NCT00051558,Voluntary Withdrawal,gengamma,mu,mu,1.166e-01
NCT00051558,Voluntary Withdrawal,gengamma,mu,sigma,-5.470e-02
NCT00051558,Voluntary Withdrawal,gengamma,mu,Q,1.981e-01
NCT00051558,Voluntary Withdrawal,gengamma,sigma,mu,-5.470e-02
NCT00051558,Voluntary Withdrawal,gengamma,sigma,sigma,1.368e-01
NCT00051558,Voluntary Withdrawal,gengamma,sigma,Q,-3.342e-01
NCT00051558,Voluntary Withdrawal,gengamma,Q,mu,1.981e-01
NCT00051558,Voluntary Withdrawal,gengamma,Q,sigma,-3.342e-01
NCT00051558,Voluntary Withdrawal,gengamma,Q,Q,8.735e-01
NCT00125918,Adverse Event,gengamma,mu,mu,2.075e-01
NCT00125918,Adverse Event,gengamma,mu,sigma,1.818e-01
NCT00125918,Adverse Event,gengamma,mu,Q,-1.885e-01
NCT00125918,Adverse Event,gengamma,sigma,mu,1.818e-01
NCT00125918,Adverse Event,gengamma,sigma,sigma,2.443e-01
NCT00125918,Adverse Event,gengamma,sigma,Q,-3.061e-01
NCT00125918,Adverse Event,gengamma,Q,mu,-1.885e-01
NCT00125918,Adverse Event,gengamma,Q,sigma,-3.061e-01
NCT00125918,Adverse Event,gengamma,Q,Q,4.138e-01
NCT00152984,Adverse Event,gengamma,mu,mu,1.276e+03
NCT00152984,Adverse Event,gengamma,mu,sigma,-6.492e+03
NCT00152984,Adverse Event,gengamma,mu,Q,2.247e+04
NCT00152984,Adverse Event,gengamma,sigma,mu,-6.492e+03
NCT00152984,Adverse Event,gengamma,sigma,sigma,3.308e+04
NCT00152984,Adverse Event,gengamma,sigma,Q,-1.145e+05
NCT00152984,Adverse Event,gengamma,Q,mu,2.247e+04
NCT00152984,Adverse Event,gengamma,Q,sigma,-1.145e+05
NCT00152984,Adverse Event,gengamma,Q,Q,3.962e+05
NCT00153023,Adverse Event,gengamma,mu,mu,2.449e-01
NCT00153023,Adverse Event,gengamma,mu,sigma,1.336e-01
NCT00153023,Adverse Event,gengamma,mu,Q,-1.715e-01
NCT00153023,Adverse Event,gengamma,sigma,mu,1.336e-01
NCT00153023,Adverse Event,gengamma,sigma,sigma,1.460e-01
NCT00153023,Adverse Event,gengamma,sigma,Q,-2.388e-01
NCT00153023,Adverse Event,gengamma,Q,mu,-1.715e-01
NCT00153023,Adverse Event,gengamma,Q,sigma,-2.388e-01
NCT00153023,Adverse Event,gengamma,Q,Q,4.141e-01
NCT00153023,Other/Miscellaneous,gengamma,mu,mu,7.975e+00
NCT00153023,Other/Miscellaneous,gengamma,mu,sigma,2.490e-01
NCT00153023,Other/Miscellaneous,gengamma,mu,Q,9.038e+00
NCT00153023,Other/Miscellaneous,gengamma,sigma,mu,2.490e-01
NCT00153023,Other/Miscellaneous,gengamma,sigma,sigma,2.768e-02
NCT00153023,Other/Miscellaneous,gengamma,sigma,Q,1.128e-01
NCT00153023,Other/Miscellaneous,gengamma,Q,mu,9.038e+00
NCT00153023,Other/Miscellaneous,gengamma,Q,sigma,1.128e-01
NCT00153023,Other/Miscellaneous,gengamma,Q,Q,1.213e+01
NCT00153023,Protocol Violation,gengamma,mu,mu,6.988e+00
NCT00153023,Protocol Violation,gengamma,mu,sigma,1.533e+01
NCT00153023,Protocol Violation,gengamma,mu,Q,-2.178e+01
NCT00153023,Protocol Violation,gengamma,sigma,mu,1.533e+01
NCT00153023,Protocol Violation,gengamma,sigma,sigma,4.459e+01
NCT00153023,Protocol Violation,gengamma,sigma,Q,-6.463e+01
NCT00153023,Protocol Violation,gengamma,Q,mu,-2.178e+01
NCT00153023,Protocol Violation,gengamma,Q,sigma,-6.463e+01
NCT00153023,Protocol Violation,gengamma,Q,Q,9.379e+01
NCT00153023,Voluntary Withdrawal,gengamma,mu,mu,2.028e+01
NCT00153023,Voluntary Withdrawal,gengamma,mu,sigma,-2.776e-01
NCT00153023,Voluntary Withdrawal,gengamma,mu,Q,1.507e+01
NCT00153023,Voluntary Withdrawal,gengamma,sigma,mu,-2.776e-01
NCT00153023,Voluntary Withdrawal,gengamma,sigma,sigma,3.089e-02
NCT00153023,Voluntary Withdrawal,gengamma,sigma,Q,-3.586e-01
NCT00153023,Voluntary Withdrawal,gengamma,Q,mu,1.507e+01
NCT00153023,Voluntary Withdrawal,gengamma,Q,sigma,-3.586e-01
NCT00153023,Voluntary Withdrawal,gengamma,Q,Q,1.214e+01
NCT00153088,Adverse Event,gengamma,mu,mu,3.264e-01
NCT00153088,Adverse Event,gengamma,mu,sigma,2.189e-01
NCT00153088,Adverse Event,gengamma,mu,Q,-3.018e-01
NCT00153088,Adverse Event,gengamma,sigma,mu,2.189e-01
NCT00153088,Adverse Event,gengamma,sigma,sigma,3.174e-01
NCT00153088,Adverse Event,gengamma,sigma,Q,-5.420e-01
NCT00153088,Adverse Event,gengamma,Q,mu,-3.018e-01
NCT00153088,Adverse Event,gengamma,Q,sigma,-5.420e-01
NCT00153088,Adverse Event,gengamma,Q,Q,9.639e-01
NCT00153088,Voluntary Withdrawal,gengamma,mu,mu,1.749e+01
NCT00153088,Voluntary Withdrawal,gengamma,mu,sigma,9.045e+00
NCT00153088,Voluntary Withdrawal,gengamma,mu,Q,-1.125e+01
NCT00153088,Voluntary Withdrawal,gengamma,sigma,mu,9.045e+00
NCT00153088,Voluntary Withdrawal,gengamma,sigma,sigma,4.902e+00
NCT00153088,Voluntary Withdrawal,gengamma,sigma,Q,-6.243e+00
NCT00153088,Voluntary Withdrawal,gengamma,Q,mu,-1.125e+01
NCT00153088,Voluntary Withdrawal,gengamma,Q,sigma,-6.243e+00
NCT00153088,Voluntary Withdrawal,gengamma,Q,Q,8.052e+00
NCT00168831,Adverse Event,gengamma,mu,mu,2.051e-01
NCT00168831,Adverse Event,gengamma,mu,sigma,-6.093e-02
NCT00168831,Adverse Event,gengamma,mu,Q,2.478e-01
NCT00168831,Adverse Event,gengamma,sigma,mu,-6.093e-02
NCT00168831,Adverse Event,gengamma,sigma,sigma,5.029e-02
NCT00168831,Adverse Event,gengamma,sigma,Q,-1.504e-01
NCT00168831,Adverse Event,gengamma,Q,mu,2.478e-01
NCT00168831,Adverse Event,gengamma,Q,sigma,-1.504e-01
NCT00168831,Adverse Event,gengamma,Q,Q,4.891e-01
NCT00168831,Lost to Follow-up,gengamma,mu,mu,3.937e+01
NCT00168831,Lost to Follow-up,gengamma,mu,sigma,-4.527e+00
NCT00168831,Lost to Follow-up,gengamma,mu,Q,5.268e+01
NCT00168831,Lost to Follow-up,gengamma,sigma,mu,-4.527e+00
NCT00168831,Lost to Follow-up,gengamma,sigma,sigma,6.844e-01
NCT00168831,Lost to Follow-up,gengamma,sigma,Q,-6.959e+00
NCT00168831,Lost to Follow-up,gengamma,Q,mu,5.268e+01
NCT00168831,Lost to Follow-up,gengamma,Q,sigma,-6.959e+00
NCT00168831,Lost to Follow-up,gengamma,Q,Q,7.552e+01
NCT00168831,Other/Miscellaneous,gengamma,mu,mu,1.859e-06
NCT00168831,Other/Miscellaneous,gengamma,mu,sigma,1.684e-09
NCT00168831,Other/Miscellaneous,gengamma,mu,Q,-2.028e-11
NCT00168831,Other/Miscellaneous,gengamma,sigma,mu,1.684e-09
NCT00168831,Other/Miscellaneous,gengamma,sigma,sigma,1.865e-06
NCT00168831,Other/Miscellaneous,gengamma,sigma,Q,-4.308e-11
NCT00168831,Other/Miscellaneous,gengamma,Q,mu,-2.028e-11
NCT00168831,Other/Miscellaneous,gengamma,Q,sigma,-4.308e-11
