ctgov,cause,dist,parameter,est,se
NCT00641043,Adverse Event,exp,rate,-8.742e+00,3.162e-01
NCT00654381,Adverse Event,exp,rate,-9.091e+00,2.182e-01
NCT00734474,Adverse Event,exp,rate,-7.884e+00,6.580e-02
NCT00734474,Lack of Efficacy,exp,rate,-1.069e+01,2.673e-01
NCT00734474,Lost to Follow-up,exp,rate,-9.925e+00,1.826e-01
NCT00734474,Other/Miscellaneous,exp,rate,-1.069e+01,2.673e-01
NCT00734474,PI/Sponsor Decision,exp,rate,-9.771e+00,1.690e-01
NCT00734474,Protocol Violation,exp,rate,-1.093e+01,3.015e-01
NCT00734474,Voluntary Withdrawal,exp,rate,-8.731e+00,1.005e-01
NCT00740051,Lost to Follow-up,exp,rate,-8.797e+00,3.015e-01
NCT00740051,Voluntary Withdrawal,exp,rate,-8.556e+00,2.673e-01
NCT00772538,Adverse Event,exp,rate,-9.403e+00,2.887e-01
NCT00772538,Other/Miscellaneous,exp,rate,-9.249e+00,2.673e-01
NCT00772538,Voluntary Withdrawal,exp,rate,-9.490e+00,3.015e-01
NCT00776984,Adverse Event,exp,rate,-9.579e+00,3.162e-01
NCT00776984,Other/Miscellaneous,exp,rate,-9.242e+00,2.673e-01
NCT00776984,Voluntary Withdrawal,exp,rate,-8.937e+00,2.294e-01
NCT00782210,Adverse Event,exp,rate,-8.144e+00,1.361e-01
NCT00782210,Lack of Efficacy,exp,rate,-9.242e+00,2.357e-01
NCT00782210,Voluntary Withdrawal,exp,rate,-8.731e+00,1.826e-01
NCT00782509,Adverse Event,exp,rate,-8.271e+00,1.414e-01
NCT00782509,Lack of Efficacy,exp,rate,-9.349e+00,2.425e-01
NCT00782509,Other/Miscellaneous,exp,rate,-9.880e+00,3.162e-01
NCT00782509,Voluntary Withdrawal,exp,rate,-9.475e+00,2.582e-01
NCT00793624,Adverse Event,exp,rate,-8.299e+00,1.231e-01
NCT00793624,Lack of Efficacy,exp,rate,-9.781e+00,2.582e-01
NCT00793624,Other/Miscellaneous,exp,rate,-9.656e+00,2.425e-01
NCT00793624,Protocol Violation,exp,rate,-1.019e+01,3.162e-01
NCT00793624,Voluntary Withdrawal,exp,rate,-8.519e+00,1.374e-01
NCT00798161,Adverse Event,exp,rate,-8.476e+00,1.961e-01
NCT00798161,Lack of Efficacy,exp,rate,-8.901e+00,2.425e-01
NCT00798161,Lost to Follow-up,exp,rate,-9.095e+00,2.673e-01
NCT00798161,Protocol Violation,exp,rate,-9.095e+00,2.673e-01
NCT00798161,Voluntary Withdrawal,exp,rate,-8.690e+00,2.182e-01
NCT00800683,Adverse Event,exp,rate,-7.654e+00,2.294e-01
NCT00848081,Adverse Event,exp,rate,-7.655e+00,2.887e-01
NCT00855582,Adverse Event,exp,rate,-8.388e+00,3.015e-01
NCT00855582,Lack of Efficacy,exp,rate,-8.301e+00,2.887e-01
NCT00855582,Other/Miscellaneous,exp,rate,-8.013e+00,2.500e-01
NCT00855582,Protocol Violation,exp,rate,-8.301e+00,2.887e-01
NCT00855582,Voluntary Withdrawal,exp,rate,-8.013e+00,2.500e-01
NCT00861757,Adverse Event,exp,rate,-8.111e+00,2.582e-01
NCT00861757,Voluntary Withdrawal,exp,rate,-8.254e+00,2.774e-01
NCT00915772,Adverse Event,exp,rate,-8.588e+00,1.667e-01
NCT00915772,Lack of Efficacy,exp,rate,-8.876e+00,1.925e-01
NCT00915772,Other/Miscellaneous,exp,rate,-9.281e+00,2.357e-01
NCT00915772,Voluntary Withdrawal,exp,rate,-9.339e+00,2.425e-01
NCT00926289,Adverse Event,exp,rate,-7.642e+00,2.236e-01
NCT00926289,Protocol Violation,exp,rate,-7.642e+00,2.236e-01
NCT00954447,Adverse Event,exp,rate,-9.345e+00,1.459e-01
NCT00954447,Lack of Efficacy,exp,rate,-1.030e+01,2.357e-01
NCT00954447,Lost to Follow-up,exp,rate,-1.020e+01,2.236e-01
NCT00954447,Other/Miscellaneous,exp,rate,-9.668e+00,1.715e-01
NCT00954447,Voluntary Withdrawal,exp,rate,-9.531e+00,1.601e-01
NCT00970632,Protocol Violation,exp,rate,-7.606e+00,2.182e-01
NCT00970632,Voluntary Withdrawal,exp,rate,-7.878e+00,2.500e-01
NCT00975195,Adverse Event,exp,rate,-8.266e+00,6.934e-02
NCT00975195,Lack of Efficacy,exp,rate,-1.112e+01,2.887e-01
NCT00975195,Lost to Follow-up,exp,rate,-1.083e+01,2.500e-01
NCT00975195,Other/Miscellaneous,exp,rate,-9.476e+00,1.270e-01
NCT00975195,Protocol Violation,exp,rate,-9.691e+00,1.414e-01
NCT00975195,Voluntary Withdrawal,exp,rate,-8.912e+00,9.578e-02
NCT00996658,Other/Miscellaneous,exp,rate,-7.979e+00,2.582e-01
NCT01064687,Adverse Event,exp,rate,-9.462e+00,1.961e-01
NCT01064687,Lost to Follow-up,exp,rate,-9.502e+00,2.000e-01
NCT01064687,Voluntary Withdrawal,exp,rate,-9.353e+00,1.857e-01
NCT01075282,Adverse Event,exp,rate,-9.844e+00,2.132e-01
NCT01075282,Other/Miscellaneous,exp,rate,-1.037e+01,2.774e-01
NCT01075282,Voluntary Withdrawal,exp,rate,-9.677e+00,1.961e-01
NCT01084005,Protocol Violation,exp,rate,-8.258e+00,3.162e-01
NCT01087502,Adverse Event,exp,rate,-7.935e+00,1.925e-01
NCT01126437,Adverse Event,exp,rate,-8.817e+00,2.329e-02
NCT01126437,Lack of Efficacy,exp,rate,-1.112e+01,7.372e-02
NCT01126437,Lost to Follow-up,exp,rate,-1.120e+01,7.670e-02
NCT01126437,Other/Miscellaneous,exp,rate,-1.000e+01,4.211e-02
NCT01126437,Protocol Violation,exp,rate,-1.119e+01,7.647e-02
NCT01126437,Voluntary Withdrawal,exp,rate,-9.444e+00,3.186e-02
NCT01126580,Adverse Event,exp,rate,-8.960e+00,1.715e-01
NCT01126580,Lost to Follow-up,exp,rate,-9.190e+00,1.925e-01
NCT01126580,PI/Sponsor Decision,exp,rate,-9.491e+00,2.236e-01
NCT01126580,Voluntary Withdrawal,exp,rate,-8.797e+00,1.581e-01
NCT01131676,Adverse Event,exp,rate,-8.066e+00,6.063e-02
NCT01131676,Other/Miscellaneous,exp,rate,-8.781e+00,8.671e-02
NCT01131676,Protocol Violation,exp,rate,-1.054e+01,2.085e-01
NCT01131676,Voluntary Withdrawal,exp,rate,-9.701e+00,1.374e-01
NCT01159600,Adverse Event,exp,rate,-8.711e+00,1.690e-01
NCT01159600,Lost to Follow-up,exp,rate,-9.781e+00,2.887e-01
NCT01159600,Other/Miscellaneous,exp,rate,-9.221e+00,2.182e-01
NCT01159600,Voluntary Withdrawal,exp,rate,-9.175e+00,2.132e-01
NCT01164501,Adverse Event,exp,rate,-8.664e+00,1.525e-01
NCT01164501,Other/Miscellaneous,exp,rate,-9.860e+00,2.774e-01
NCT01164501,Voluntary Withdrawal,exp,rate,-9.334e+00,2.132e-01
NCT01167881,Adverse Event,exp,rate,-1.019e+01,1.222e-01
NCT01167881,Lost to Follow-up,exp,rate,-1.109e+01,1.925e-01
NCT01167881,Other/Miscellaneous,exp,rate,-1.030e+01,1.291e-01
NCT01167881,Protocol Violation,exp,rate,-1.139e+01,2.236e-01
NCT01167881,Voluntary Withdrawal,exp,rate,-1.030e+01,1.291e-01
NCT01177813,Adverse Event,exp,rate,-8.883e+00,2.236e-01
NCT01177813,Lost to Follow-up,exp,rate,-8.700e+00,2.041e-01
NCT01177813,Other/Miscellaneous,exp,rate,-9.393e+00,2.887e-01
NCT01177813,Voluntary Withdrawal,exp,rate,-8.511e+00,1.857e-01
NCT01191268,Adverse Event,exp,rate,-8.828e+00,1.543e-01
NCT01191268,Lost to Follow-up,exp,rate,-9.733e+00,2.425e-01
NCT01191268,PI/Sponsor Decision,exp,rate,-9.388e+00,2.041e-01
NCT01191268,Voluntary Withdrawal,exp,rate,-8.423e+00,1.260e-01
NCT01191944,Adverse Event,exp,rate,-7.809e+00,2.085e-01
NCT01194830,Lost to Follow-up,exp,rate,-7.613e+00,2.582e-01
NCT01194830,Other/Miscellaneous,exp,rate,-7.377e+00,2.294e-01
NCT01204294,Adverse Event,exp,rate,-9.213e+00,2.236e-01
NCT01210001,Adverse Event,exp,rate,-8.912e+00,3.015e-01
NCT01214239,Voluntary Withdrawal,exp,rate,-8.294e+00,2.887e-01
NCT01306214,Adverse Event,exp,rate,-8.820e+00,1.890e-01
NCT01306214,Protocol Violation,exp,rate,-9.444e+00,2.582e-01
NCT01306214,Voluntary Withdrawal,exp,rate,-8.894e+00,1.961e-01
NCT01335464,Adverse Event,exp,rate,-7.520e+00,1.060e-01
NCT01335464,Voluntary Withdrawal,exp,rate,-9.236e+00,2.500e-01
NCT01335477,Adverse Event,exp,rate,-7.496e+00,1.015e-01
NCT01335477,Voluntary Withdrawal,exp,rate,-9.238e+00,2.425e-01
NCT01368081,Adverse Event,exp,rate,-9.082e+00,1.474e-01
NCT01368081,Other/Miscellaneous,exp,rate,-1.061e+01,3.162e-01
NCT01368081,Voluntary Withdrawal,exp,rate,-9.414e+00,1.741e-01
NCT01370005,Adverse Event,exp,rate,-8.370e+00,2.500e-01
NCT01422876,Adverse Event,exp,rate,-9.043e+00,1.361e-01
NCT01422876,Lost to Follow-up,exp,rate,-9.120e+00,1.414e-01
NCT01422876,Other/Miscellaneous,exp,rate,-9.318e+00,1.562e-01
NCT01422876,Protocol Violation,exp,rate,-1.055e+01,2.887e-01
NCT01422876,Voluntary Withdrawal,exp,rate,-9.566e+00,1.768e-01
NCT01558271,Adverse Event,exp,rate,-9.475e+00,2.774e-01
NCT01558271,Voluntary Withdrawal,exp,rate,-8.708e+00,1.890e-01
NCT01621178,Adverse Event,exp,rate,-9.448e+00,2.582e-01
NCT01621178,Other/Miscellaneous,exp,rate,-9.448e+00,2.582e-01
NCT01621178,PI/Sponsor Decision,exp,rate,-9.517e+00,2.673e-01
NCT01621178,Voluntary Withdrawal,exp,rate,-8.327e+00,1.474e-01
NCT01624259,Adverse Event,exp,rate,-8.684e+00,2.357e-01
NCT01624259,Voluntary Withdrawal,exp,rate,-9.176e+00,3.015e-01
NCT01694771,Adverse Event,exp,rate,-7.929e+00,1.715e-01
NCT01694771,Other/Miscellaneous,exp,rate,-9.058e+00,3.015e-01
NCT01694771,Protocol Violation,exp,rate,-8.971e+00,2.887e-01
NCT01694771,Voluntary Withdrawal,exp,rate,-8.747e+00,2.582e-01
NCT01708902,Adverse Event,exp,rate,-8.446e+00,2.000e-01
NCT01708902,Voluntary Withdrawal,exp,rate,-8.621e+00,2.182e-01
NCT01719003,Adverse Event,exp,rate,-8.711e+00,1.667e-01
NCT01719003,Lost to Follow-up,exp,rate,-9.117e+00,2.041e-01
NCT01719003,Other/Miscellaneous,exp,rate,-9.730e+00,2.774e-01
NCT01719003,Protocol Violation,exp,rate,-9.992e+00,3.162e-01
NCT01719003,Voluntary Withdrawal,exp,rate,-8.684e+00,1.644e-01
NCT01769378,Adverse Event,exp,rate,-8.479e+00,3.162e-01
NCT01769378,Voluntary Withdrawal,exp,rate,-8.479e+00,3.162e-01
NCT02152371,Voluntary Withdrawal,exp,rate,-8.626e+00,3.162e-01
NCT02172287,Adverse Event,exp,rate,-7.047e+00,1.118e-01
NCT02172287,Voluntary Withdrawal,exp,rate,-8.293e+00,2.085e-01
NCT02172586,Voluntary Withdrawal,exp,rate,-8.325e+00,2.673e-01
NCT02175355,Adverse Event,exp,rate,-7.562e+00,2.132e-01
NCT02175355,Protocol Violation,exp,rate,-7.321e+00,1.890e-01
NCT02177344,Adverse Event,exp,rate,-8.086e+00,1.826e-01
NCT02177344,Other/Miscellaneous,exp,rate,-8.396e+00,2.132e-01
NCT02177344,Voluntary Withdrawal,exp,rate,-8.543e+00,2.294e-01
NCT02177396,Adverse Event,exp,rate,-7.551e+00,2.887e-01
NCT02177396,Lack of Efficacy,exp,rate,-7.733e+00,3.162e-01
NCT02177461,Adverse Event,exp,rate,-8.133e+00,2.500e-01
NCT02177461,Lack of Efficacy,exp,rate,-7.440e+00,1.768e-01
NCT02177461,Protocol Violation,exp,rate,-8.420e+00,2.887e-01
NCT02177461,Voluntary Withdrawal,exp,rate,-7.216e+00,1.581e-01
NCT02183064,Adverse Event,exp,rate,-8.612e+00,1.601e-01
NCT02183064,Other/Miscellaneous,exp,rate,-9.443e+00,2.425e-01
NCT02183064,Voluntary Withdrawal,exp,rate,-8.665e+00,1.644e-01
NCT02200653,Adverse Event,exp,rate,-7.495e+00,2.887e-01
NCT02240680,Adverse Event,exp,rate,-8.614e+00,2.887e-01
NCT02489968,Adverse Event,exp,rate,-8.839e+00,2.425e-01
NCT02750410,Adverse Event,exp,rate,-8.415e+00,2.887e-01
NCT00034840,Lack of Efficacy,gengamma,mu,4.544e+00,2.811e-03
NCT00034840,Lack of Efficacy,gengamma,sigma,-4.339e+00,2.811e-03
NCT00034840,Lack of Efficacy,gengamma,Q,8.595e+01,2.811e+01
NCT00051558,Adverse Event,gengamma,mu,9.562e+00,1.716e+00
NCT00051558,Adverse Event,gengamma,sigma,1.607e+00,2.167e-01
NCT00051558,Adverse Event,gengamma,Q,-1.673e+00,1.640e+00
NCT00051558,Lost to Follow-up,gengamma,mu,7.593e+00,1.003e-03
NCT00051558,Lost to Follow-up,gengamma,sigma,-3.405e+00,1.003e-03
NCT00051558,Lost to Follow-up,gengamma,Q,4.584e+01,1.003e+01
NCT00051558,Other/Miscellaneous,gengamma,mu,8.108e+00,2.110e+00
NCT00051558,Other/Miscellaneous,gengamma,sigma,1.679e+00,1.480e-01
NCT00051558,Other/Miscellaneous,gengamma,Q,-4.083e+00,2.589e+00
NCT00051558,PI/Sponsor Decision,gengamma,mu,1.133e+01,1.304e+00
NCT00051558,PI/Sponsor Decision,gengamma,sigma,1.253e+00,1.941e+00
NCT00051558,PI/Sponsor Decision,gengamma,Q,-8.821e-01,5.015e+00
NCT00051558,Voluntary Withdrawal,gengamma,mu,8.679e+00,3.415e-01
NCT00051558,Voluntary Withdrawal,gengamma,sigma,8.234e-01,3.699e-01
NCT00051558,Voluntary Withdrawal,gengamma,Q,-2.864e-01,9.346e-01
NCT00125918,Adverse Event,gengamma,mu,6.921e+00,4.555e-01
NCT00125918,Adverse Event,gengamma,sigma,4.206e-01,4.943e-01
NCT00125918,Adverse Event,gengamma,Q,3.638e-01,6.433e-01
NCT00152984,Adverse Event,gengamma,mu,8.434e+00,3.572e+01
NCT00152984,Adverse Event,gengamma,sigma,-1.115e+00,1.819e+02
NCT00152984,Adverse Event,gengamma,Q,3.461e+00,6.295e+02
NCT00153023,Adverse Event,gengamma,mu,9.625e+00,4.949e-01
NCT00153023,Adverse Event,gengamma,sigma,1.108e+00,3.820e-01
NCT00153023,Adverse Event,gengamma,Q,-3.520e-02,6.435e-01
NCT00153023,Other/Miscellaneous,gengamma,mu,8.831e+00,2.824e+00
NCT00153023,Other/Miscellaneous,gengamma,sigma,2.624e+00,1.664e-01
NCT00153023,Other/Miscellaneous,gengamma,Q,-8.584e+00,3.482e+00
NCT00153023,Protocol Violation,gengamma,mu,1.133e+01,2.643e+00
NCT00153023,Protocol Violation,gengamma,sigma,1.917e-02,6.678e+00
NCT00153023,Protocol Violation,gengamma,Q,1.450e+00,9.685e+00
NCT00153023,Voluntary Withdrawal,gengamma,mu,1.183e+01,4.504e+00
NCT00153023,Voluntary Withdrawal,gengamma,sigma,2.550e+00,1.758e-01
NCT00153023,Voluntary Withdrawal,gengamma,Q,-4.527e+00,3.485e+00
NCT00153088,Adverse Event,gengamma,mu,9.710e+00,5.713e-01
NCT00153088,Adverse Event,gengamma,sigma,1.051e+00,5.634e-01
NCT00153088,Adverse Event,gengamma,Q,-2.148e-02,9.818e-01
NCT00153088,Voluntary Withdrawal,gengamma,mu,1.127e+01,4.183e+00
NCT00153088,Voluntary Withdrawal,gengamma,sigma,9.398e-01,2.214e+00
NCT00153088,Voluntary Withdrawal,gengamma,Q,-5.091e-03,2.838e+00
NCT00168831,Adverse Event,gengamma,mu,8.618e+00,4.529e-01
NCT00168831,Adverse Event,gengamma,sigma,1.343e+00,2.242e-01
NCT00168831,Adverse Event,gengamma,Q,-5.923e-01,6.993e-01
NCT00168831,Lost to Follow-up,gengamma,mu,1.252e+01,6.274e+00
NCT00168831,Lost to Follow-up,gengamma,sigma,2.239e+00,8.273e-01
NCT00168831,Lost to Follow-up,gengamma,Q,-3.721e+00,8.690e+00
NCT00168831,Other/Miscellaneous,gengamma,mu,6.300e+00,1.363e-03
NCT00168831,Other/Miscellaneous,gengamma,sigma,-3.831e+00,1.366e-03
NCT00168831,Other/Miscellaneous,gengamma,Q,7.723e+01,1.366e-03
NCT00168831,Protocol Violation,gengamma,mu,1.219e+01,4.577e+00
NCT00168831,Protocol Violation,gengamma,sigma,2.596e+00,1.876e-01
NCT00168831,Protocol Violation,gengamma,Q,-4.699e+00,3.651e+00
NCT00168831,Voluntary Withdrawal,gengamma,mu,1.333e+01,2.266e+00
NCT00168831,Voluntary Withdrawal,gengamma,sigma,1.600e+00,9.810e-01
NCT00168831,Voluntary Withdrawal,gengamma,Q,-2.552e-01,1.649e+00
NCT00168844,Adverse Event,gengamma,mu,9.212e+00,3.781e-01
NCT00168844,Adverse Event,gengamma,sigma,1.096e+00,3.597e-01
NCT00168844,Adverse Event,gengamma,Q,-8.435e-02,6.572e-01
NCT00168844,Lost to Follow-up,gengamma,mu,1.162e+01,2.771e+00
NCT00168844,Lost to Follow-up,gengamma,sigma,1.119e-01,6.778e+00
NCT00168844,Lost to Follow-up,gengamma,Q,1.457e+00,9.878e+00
NCT00168844,Other/Miscellaneous,gengamma,mu,9.960e+00,4.920e+00
NCT00168844,Other/Miscellaneous,gengamma,sigma,2.365e+00,1.785e-01
NCT00168844,Other/Miscellaneous,gengamma,Q,-6.277e+00,6.350e+00
NCT00168844,Voluntary Withdrawal,gengamma,mu,7.240e+00,2.423e+00
NCT00168844,Voluntary Withdrawal,gengamma,sigma,2.409e+00,1.591e-01
NCT00168844,Voluntary Withdrawal,gengamma,Q,-8.007e+00,2.988e+00
NCT00168857,Adverse Event,gengamma,mu,7.925e+00,4.331e-01
NCT00168857,Adverse Event,gengamma,sigma,-6.317e-01,4.144e+00
NCT00168857,Adverse Event,gengamma,Q,2.009e+00,8.324e+00
NCT00168857,Lost to Follow-up,gengamma,mu,7.740e+00,2.293e-03
NCT00168857,Lost to Follow-up,gengamma,sigma,-2.555e+00,2.292e-03
NCT00168857,Lost to Follow-up,gengamma,Q,3.437e+01,2.293e-03
NCT00168857,Other/Miscellaneous,gengamma,mu,6.012e+00,2.392e+00
NCT00168857,Other/Miscellaneous,gengamma,sigma,2.656e+00,2.250e-01
NCT00168857,Other/Miscellaneous,gengamma,Q,-1.450e+01,5.000e+00
NCT00168857,Protocol Violation,gengamma,mu,9.014e+00,7.078e-01
NCT00168857,Protocol Violation,gengamma,sigma,-4.588e-01,3.596e+00
NCT00168857,Protocol Violation,gengamma,Q,1.604e+00,5.762e+00
NCT00168857,Voluntary Withdrawal,gengamma,mu,1.260e+01,5.654e+00
NCT00168857,Voluntary Withdrawal,gengamma,sigma,9.108e-01,1.999e+00
NCT00168857,Voluntary Withdrawal,gengamma,Q,4.813e-01,1.827e+00
NCT00239421,Adverse Event,gengamma,mu,4.635e+00,2.207e+00
NCT00239421,Adverse Event,gengamma,sigma,1.790e+00,3.002e-01
NCT00239421,Adverse Event,gengamma,Q,-1.067e+01,7.560e+00
NCT00274014,Adverse Event,gengamma,mu,8.473e+00,1.098e+00
NCT00274014,Adverse Event,gengamma,sigma,1.552e+00,1.528e-01
NCT00274014,Adverse Event,gengamma,Q,-1.706e+00,1.149e+00
NCT00274014,Lost to Follow-up,gengamma,mu,4.300e+01,1.565e+00
NCT00274014,Lost to Follow-up,gengamma,sigma,2.499e-01,7.457e-04
NCT00274014,Lost to Follow-up,gengamma,Q,2.591e+01,3.253e+00
NCT00274014,Other/Miscellaneous,gengamma,mu,6.466e+00,1.183e-03
NCT00274014,Other/Miscellaneous,gengamma,sigma,-4.207e+00,1.612e-01
NCT00274014,Other/Miscellaneous,gengamma,Q,1.127e+02,1.433e-03
